COD INEP;Escola;COD Municipio;Cidade;COD UF;UF;Alunos na região urbana;Alunos na região rural;Total de alunos que não reside em localização diferenciada;Total de alunos residente em área remanescente de quilombo;Total de alunos residente em área indígena;Total de alunos residente em área de assentamento;Total de alunos que não utilizam transporte escolar público;Total de alunos que utilizam transporte escolar público;Total de alunos que não utilizam Tração Animal;Total de alunos que utilizam Tração Animal;Média do IDEB - anos finais;Média do IDEB - Anos iniciais
41368355;NOVO HORIZONTE C E EF M;4104303;Campo Mourão;41;PR;139,0;2,0;137,0;;;;137,0;4,0;4,0;;4,6;
41015800;NARCISO SIMAO E M C EI EF;4104303;Campo Mourão;41;PR;31,0;37,0;68,0;;;;30,0;38,0;38,0;;;5,9
41159977;CONEXAO COC COLEGIO;4104303;Campo Mourão;41;PR;93,0;3,0;1,0;;;;96,0;;;;;
41015533;BILINGUE P SURD ESP ABERTO E M EIEF M E;4104303;Campo Mourão;41;PR;12,0;;12,0;;;;9,0;3,0;3,0;;;
41015622;ETHANIL B DE ASSIS E M PROF EI EF;4104303;Campo Mourão;41;PR;212,0;3,0;205,0;;;;205,0;10,0;10,0;;;5,5
41015576;DARCY JOSE COSTA C E PROF EF M;4104303;Campo Mourão;41;PR;333,0;8,0;333,0;;;;293,0;48,0;48,0;;5,0;
41015452;BOSCO C E D EF M PROFIS;4104303;Campo Mourão;41;PR;288,0;2,0;284,0;;;;281,0;9,0;9,0;;5,1;
41015673;INTEGRADO COLEGIO E FACULDADE CAMPO MOURAOPR;4104303;Campo Mourão;41;PR;329,0;;1,0;;;;329,0;;;;;
41159640;ALFA CAMPO MOURAO COLEGIO;4104303;Campo Mourão;41;PR;177,0;2,0;16,0;;;;179,0;;;;;
41015460;CAETANO MUNHOZ DA ROCHA E M C EI EF;4104303;Campo Mourão;41;PR;3,0;11,0;14,0;;;;2,0;12,0;12,0;;;
41015649;GURILANDIA E M EI EF;4104303;Campo Mourão;41;PR;302,0;14,0;306,0;;;;287,0;29,0;29,0;;;7,2
41353390;FLORESTAN FERNANDES E M PR EI EF;4104303;Campo Mourão;41;PR;313,0;12,0;305,0;;;;277,0;48,0;48,0;;;6,0
41015967;EVOLUCAO E EI EF;4104303;Campo Mourão;41;PR;40,0;;38,0;;;;40,0;;;;;
41015860;SIGMA C EI EF M;4104303;Campo Mourão;41;PR;126,0;6,0;129,0;;;;132,0;;;;;
41015754;MARIA DO C PEREIRA E M EI EF;4104303;Campo Mourão;41;PR;353,0;5,0;347,0;;;;315,0;43,0;43,0;;;5,6
41015703;CAMPO MOURAO C E DE EF M PROFIS N;4104303;Campo Mourão;41;PR;339,0;64,0;382,0;;;;116,0;287,0;287,0;;4,3;
41015711;JOSEPHINA W NUNES E EI EF MOD ED ESP;4104303;Campo Mourão;41;PR;86,0;5,0;80,0;;;;21,0;70,0;70,0;;;
41015738;MANOEL BANDEIRA E M EI EF;4104303;Campo Mourão;41;PR;279,0;10,0;280,0;;;;270,0;19,0;19,0;;;6,1
41378660;ERONI MACIEL RIBAS E M PROFA EF;4104303;Campo Mourão;41;PR;332,0;10,0;325,0;;;;327,0;15,0;15,0;;;6,8
41378652;CONSTANTINO L DE MEDEIROS E M EI EF;4104303;Campo Mourão;41;PR;236,0;1,0;233,0;;;;176,0;61,0;61,0;;;6,0
41015770;MARIO DE MIRANDA QUINTANA E M EI EF;4104303;Campo Mourão;41;PR;189,0;7,0;193,0;;;;139,0;57,0;57,0;;;6,0
41015975;UNIDADE POLO C E EF M;4104303;Campo Mourão;41;PR;543,0;15,0;538,0;;;;237,0;321,0;321,0;;4,5;
41015991;VINICIUS DE MORAES C E EF M;4104303;Campo Mourão;41;PR;179,0;11,0;189,0;;;;184,0;6,0;6,0;;5,0;
41358805;NICON KOPKO E M PROF EI EF;4104303;Campo Mourão;41;PR;141,0;3,0;143,0;;;;131,0;13,0;13,0;;;5,0
41015444;BENTO MOSSURUNGA E M EI EF;4104303;Campo Mourão;41;PR;140,0;44,0;178,0;;;;128,0;56,0;56,0;;;6,5
41015681;IVONE S CASTANHARO C E PROF EF M;4104303;Campo Mourão;41;PR;452,0;3,0;435,0;;;;342,0;113,0;113,0;;4,8;
41146921;CIDADE NOVA E M EI EF;4104303;Campo Mourão;41;PR;255,0;6,0;256,0;;;;261,0;;;;;5,6
41015517;EDUCATIVA - ESCOLA EI EF;4104303;Campo Mourão;41;PR;155,0;1,0;;;;;156,0;;;;;
41015908;RONDON C E MAL EF M PROFIS;4104303;Campo Mourão;41;PR;691,0;21,0;688,0;;;;473,0;239,0;239,0;;5,8;
41015746;MANOEL DA NOBREGA E M C EI EF;4104303;Campo Mourão;41;PR;2,0;14,0;16,0;;;;3,0;13,0;13,0;;;
41368304;EDUCARE E EI EF;4104303;Campo Mourão;41;PR;169,0;2,0;160,0;;;;171,0;;;;;
41375181;URUPES E M EF;4104303;Campo Mourão;41;PR;596,0;12,0;586,0;;;;582,0;26,0;26,0;;;7,1
41158539;JAIME LUIZ COELHO E M D EF;4115200;Maringá;41;PR;362,0;2,0;360,0;;;;359,0;5,0;5,0;;;7,1
41024303;COLEGIO MARISTA DE MARINGA - EI EF EM;4115200;Maringá;41;PR;983,0;3,0;980,0;;;;986,0;;;;;
41024796;TOMAZ E DE A VIEIRA C E EF M;4115200;Maringá;41;PR;334,0;2,0;321,0;;;;191,0;145,0;145,0;;5,0;
41023781;CAPUXU CENTRO DE EDUCACAO INFANTIL LTDA;4115200;Maringá;41;PR;39,0;;3,0;;;;39,0;;;;;
41147561;GERALDO MENEGHETTI E M PION EI EF;4115200;Maringá;41;PR;316,0;1,0;314,0;;;;311,0;6,0;6,0;;;7,5
41023552;ALBERTO J BYINGTON JR C E EF M;4115200;Maringá;41;PR;257,0;2,0;253,0;;;;120,0;139,0;139,0;;5,3;
41023838;LEO KANNER E EI EF MOD ED ESP;4115200;Maringá;41;PR;52,0;;50,0;;;;9,0;43,0;43,0;;;
41144481;ANGELA VERGINIA BORIN E M EI EF;4115200;Maringá;41;PR;334,0;6,0;336,0;;;;331,0;9,0;9,0;;;7,3
41380380;PAULO FREIRE E M EI EF;4115200;Maringá;41;PR;161,0;9,0;168,0;;;;125,0;45,0;45,0;;;7,6
41024702;COLEGIO SAO FRANCISCO XAVIER;4115200;Maringá;41;PR;428,0;2,0;;;;;419,0;11,0;11,0;;;
41023676;BENEDITA N LIMA E M PROFA EI EF;4115200;Maringá;41;PR;222,0;;219,0;;;;207,0;15,0;15,0;;;6,8
41357000;TANIA V FERREIRA C E EF M;4115200;Maringá;41;PR;491,0;9,0;493,0;;;;443,0;57,0;57,0;;5,1;
41158547;JOSE HIRAN SALLEE E M EF;4115200;Maringá;41;PR;417,0;1,0;418,0;;;;385,0;33,0;33,0;;;6,9
41024664;RUY ALVINO ALEGRETTI E M EI EF;4115200;Maringá;41;PR;133,0;24,0;152,0;;;;4,0;153,0;153,0;;;6,8
41144490;INTERACAO C - EI EF M PROFIS;4115200;Maringá;41;PR;228,0;6,0;10,0;;;;234,0;;;;;
41023536;ADAILE M LEITE C E EF M;4115200;Maringá;41;PR;405,0;4,0;404,0;;;;369,0;40,0;40,0;;5,8;
41024559;MARIANA V DIAS E M PION EI EF;4115200;Maringá;41;PR;454,0;;453,0;;;;432,0;22,0;22,0;;;7,1
41023609;CRISTAO INT DE MARINGA CCIM C EIEFM;4115200;Maringá;41;PR;1442,0;8,0;1392,0;;;;1306,0;144,0;144,0;;;
41023595;ANICETO MATTI E M MTO EI EF;4115200;Maringá;41;PR;351,0;;346,0;;;;350,0;1,0;1,0;;;7,0
41024184;JOSE MARCHESINI E M PROF EI EF;4115200;Maringá;41;PR;364,0;1,0;351,0;;;;346,0;19,0;19,0;;;6,8
41024044;GASTAO VIDIGAL C E DR EF M PROFIS;4115200;Maringá;41;PR;694,0;13,0;677,0;;;;288,0;419,0;419,0;;6,0;
41023978;ELVIRA B DOS SANTOS E E EF;4115200;Maringá;41;PR;230,0;11,0;240,0;;;;55,0;186,0;186,0;;4,9;
41024311;MATER DEI C EI EF M;4115200;Maringá;41;PR;649,0;5,0;633,0;;;;654,0;;;;;
41024451;OSCAR P DOS SANTOS E M EI EF;4115200;Maringá;41;PR;409,0;3,0;402,0;;;;393,0;19,0;19,0;;;7,2
41160517;POL MILITAR C DA EF M;4115200;Maringá;41;PR;523,0;;510,0;;;;280,0;243,0;243,0;;4,9;
41568915;PEDRO RYO TANAKA E M PE EI EF;4115200;Maringá;41;PR;376,0;1,0;369,0;;;;337,0;40,0;40,0;;;7,4
41024680;SANTA MARIA GORETTI C E EF M PROFIS;4115200;Maringá;41;PR;182,0;1,0;175,0;;;;124,0;59,0;59,0;;5,7;
41024095;MIDUFO VADA E M PROF EI EF;4115200;Maringá;41;PR;358,0;8,0;355,0;;;;363,0;3,0;3,0;;;7,5
41147812;JOSE DARCY DE CARVALHO E M PROF EI EF;4115200;Maringá;41;PR;160,0;8,0;167,0;;;;163,0;5,0;5,0;;;7,4
41024699;SANTO INACIO COLEGIO EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO;4115200;Maringá;41;PR;1110,0;4,0;38,0;;;;1045,0;69,0;69,0;;;
41023544;AGMAR DOS SANTOS E M PROF EI EF;4115200;Maringá;41;PR;325,0;3,0;321,0;;;;301,0;27,0;27,0;;;7,2
41023960;ANGLO MARINGA C EF M;4115200;Maringá;41;PR;151,0;1,0;140,0;;;;98,0;54,0;54,0;;;
41024842;VICTOR BELOTI E M EI EF;4115200;Maringá;41;PR;77,0;29,0;103,0;;;;25,0;81,0;81,0;;;7,6
41377370;COLEGIO BOM JESUS CARLOS DEMIA EIEFEM;4115200;Maringá;41;PR;157,0;;157,0;;;;157,0;;;;;
41024249;DIOGO ZULIANI E EI EF MOD ED ESP;4115200;Maringá;41;PR;105,0;1,0;102,0;;;;14,0;92,0;92,0;;;
41388151;EXPANSAO E EF SEDE;4115200;Maringá;41;PR;53,0;;5,0;;;;53,0;;;;;
41024567;PIVENI P MORAES E M PROFA EI EF;4115200;Maringá;41;PR;354,0;3,0;354,0;;;;350,0;7,0;7,0;;;6,6
41024648;ROSA PALMA PLANAS E M EI EF;4115200;Maringá;41;PR;600,0;5,0;597,0;;;;578,0;27,0;27,0;;;7,3
41024125;JOAO DE F PIOLI C E EF M;4115200;Maringá;41;PR;707,0;10,0;708,0;;;;462,0;255,0;255,0;;5,4;
41024672;COLEGIO SANTA CRUZ;4115200;Maringá;41;PR;784,0;1,0;3,0;;;;785,0;;;;;
41024001;COLEGIO EVANGELICO DE MARINGA-ED INFANTIL ENSINO FUNDAMENTAL E MEDIO;4115200;Maringá;41;PR;392,0;1,0;4,0;;;;392,0;1,0;1,0;;;
41023790;SAGRADO CORACAO EDUCACAO INFANTIL ENSINO FUNDAMENTAL;4115200;Maringá;41;PR;183,0;;4,0;;;;183,0;;;;;
41024486;MILTON SANTOS E M PROF EI EF;4115200;Maringá;41;PR;395,0;1,0;392,0;;;;393,0;3,0;3,0;;;7,8
41023560;ALFREDO MOISES MALUF C E EF M;4115200;Maringá;41;PR;802,0;39,0;830,0;;;;712,0;129,0;129,0;;4,4;
41146972;SILVINO FERNANDES DIAS E M PION EI EF;4115200;Maringá;41;PR;258,0;;255,0;;;;244,0;14,0;14,0;;;7,5
41024788;THEOBALDO M SANTOS C E EF M;4115200;Maringá;41;PR;334,0;4,0;332,0;;;;163,0;175,0;175,0;;4,7;
41023900;CRIARTE E - ED INF ENS FUND-SEDE;4115200;Maringá;41;PR;247,0;3,0;2,0;;;;248,0;2,0;2,0;;;
41024273;JOAQUIM MARIA M DE ASSIS E M EI EF;4115200;Maringá;41;PR;303,0;7,0;308,0;;;;304,0;6,0;6,0;;;6,7
41024834;UNIDADE POLO C E EF M PROFIS;4115200;Maringá;41;PR;658,0;10,0;657,0;;;;411,0;257,0;257,0;;5,2;
41024206;KENNEDY C E PRES EF M;4115200;Maringá;41;PR;320,0;;312,0;;;;101,0;219,0;219,0;;5,9;
41149645;JOAO BARBOSA DE MACEDO E M PS EI EF;4115200;Maringá;41;PR;277,0;5,0;279,0;;;;270,0;12,0;12,0;;;7,3
41024427;OCTAVIO PERIOTTO E M EI EF;4115200;Maringá;41;PR;249,0;3,0;247,0;;;;218,0;34,0;34,0;;;6,7
41024230;LAZARA R VILELLA E M DONA EI EF;4115200;Maringá;41;PR;181,0;21,0;201,0;;;;135,0;67,0;67,0;;;6,7
41024435;ODETE R GOMES DE CASTRO E M EI EF;4115200;Maringá;41;PR;251,0;6,0;252,0;;;;243,0;14,0;14,0;;;7,6
41157931;IMESA - ESCOLA ED INF ENS FUND;4115200;Maringá;41;PR;26,0;;1,0;;;;26,0;;;;;
41024478;PARANA C EI EF M;4115200;Maringá;41;PR;201,0;6,0;196,0;;;;207,0;;;;;
41024052;HELENTON B CORTES E M DR EI EF;4115200;Maringá;41;PR;270,0;1,0;267,0;;;;253,0;18,0;18,0;;;6,8
41403223;TUIUTI E EI EF;4115200;Maringá;41;PR;190,0;2,0;4,0;;;;191,0;1,0;1,0;;;
41024087;CELESTIN FREINET E M EI EF;4115200;Maringá;41;PR;248,0;2,0;249,0;;;;93,0;157,0;157,0;;;7,6
41024419;APLICACAO PED DA UEM C DE EF M;4115200;Maringá;41;PR;677,0;6,0;674,0;;;;619,0;64,0;64,0;;6,3;7,7
41024761;TANCREDO DE A NEVES C E EF M;4115200;Maringá;41;PR;452,0;2,0;449,0;;;;332,0;122,0;122,0;;4,9;
41144562;ALBERT SABIN E EI EF MOD ED ESP;4115200;Maringá;41;PR;111,0;;109,0;;;;31,0;80,0;80,0;;;
41024281;MARCO A PIMENTA C E EF M;4115200;Maringá;41;PR;288,0;3,0;287,0;;;;200,0;91,0;91,0;;5,4;
41380312;ESCOLA GENTE MIUDA EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;4115200;Maringá;41;PR;66,0;1,0;;;;;62,0;5,0;5,0;;;
41024036;GABRIELA MISTRAL E M EI EF;4115200;Maringá;41;PR;242,0;;241,0;;;;226,0;16,0;16,0;;;7,5
41024656;RUI BARBOSA C E EF M;4115200;Maringá;41;PR;417,0;51,0;460,0;;;;331,0;137,0;137,0;;4,3;
41024826;COLEGIO OBJETIVO UNIDADE MARINGA;4115200;Maringá;41;PR;782,0;3,0;18,0;;;;785,0;;;;;
41024028;FERNAO DIAS E M EI EF;4115200;Maringá;41;PR;49,0;34,0;80,0;;;;25,0;58,0;58,0;;;6,9
41354192;JESUINA DE J FREITAS E M PION EI EF;4115200;Maringá;41;PR;401,0;4,0;405,0;;;;401,0;4,0;4,0;;;7,0
41380304;O BOM PASTOR E EF;4115200;Maringá;41;PR;199,0;1,0;189,0;;;;200,0;;;;;
41023706;BRANCA DA MOTA FERNANDES C E EF M PROFI;4115200;Maringá;41;PR;595,0;6,0;588,0;;;;222,0;379,0;379,0;;;
41024338;MIRIAM L PALANDRI E M PROFA EI EF;4115200;Maringá;41;PR;169,0;3,0;167,0;;;;159,0;13,0;13,0;;;7,6
41147537;FLORIANO C E C DE EF M;4115200;Maringá;41;PR;131,0;29,0;157,0;;;;114,0;46,0;46,0;;5,2;
41380290;ESCOLA NOBEL - EDUC INFANTIL E ENSINO FUNDAMENTAL - SUBSEDE;4115200;Maringá;41;PR;554,0;3,0;1,0;;;;557,0;;;;;
41023927;DIRCE DE A MAIA C E EF M;4115200;Maringá;41;PR;278,0;2,0;274,0;;;;195,0;85,0;85,0;;;
41024257;LIDIA R D SILVA E M PROF EI EF;4115200;Maringá;41;PR;528,0;6,0;520,0;;;;509,0;25,0;25,0;;;7,6
41377397;ESCOLA PEQUENO APRENDIZ LTDA;4115200;Maringá;41;PR;85,0;;;;;;85,0;;;;;
41024877;VITAL BRASIL C E EF M;4115200;Maringá;41;PR;626,0;11,0;611,0;;;;418,0;219,0;219,0;;6,0;
41024869;VINICIUS DE MORAIS C E EF M;4115200;Maringá;41;PR;319,0;8,0;321,0;;;;259,0;68,0;68,0;;3,7;
41024575;COLEGIO PLATAO EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO;4115200;Maringá;41;PR;563,0;2,0;8,0;;;;565,0;;;;;
41024613;REGINA MUNDI COLEGIO EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO;4115200;Maringá;41;PR;614,0;3,0;;;;;603,0;14,0;14,0;;;
41411420;ARAUTOS DO EVANGELHO DE MARINGA E EF;4115200;Maringá;41;PR;33,0;3,0;33,0;;;;36,0;;;;;
41024460;OSVALDO CRUZ E M DR EI EF;4115200;Maringá;41;PR;354,0;5,0;355,0;;;;324,0;35,0;35,0;;;7,7
41023714;BRASILIO ITIBERE C E EF M;4115200;Maringá;41;PR;317,0;1,0;311,0;;;;68,0;250,0;250,0;;;
41024079;IPIRANGA E E EF;4115200;Maringá;41;PR;461,0;3,0;458,0;;;;215,0;249,0;249,0;;5,7;
41023757;PRE ESCOLA CAMINHO SUAVE LTDA ME;4115200;Maringá;41;PR;66,0;1,0;;;;;67,0;;;;;
41405021;ESCOLA NOVOS CAMINHOS EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;4115200;Maringá;41;PR;25,0;;;;;;25,0;;;;;
41354184;OLGA AIUB FERREIRA E M EI EF;4115200;Maringá;41;PR;360,0;10,0;367,0;;;;354,0;16,0;16,0;;;6,8
41159624;ANTENOR SANCHES E M EF;4115200;Maringá;41;PR;271,0;;269,0;;;;265,0;6,0;6,0;;;6,7
41024060;INST ED E MARINGA EF M N PROFIS;4115200;Maringá;41;PR;799,0;4,0;780,0;;;;220,0;583,0;583,0;;5,2;
41023633;ARIOVALDO MORENO E M EI EF;4115200;Maringá;41;PR;438,0;1,0;432,0;;;;418,0;21,0;21,0;;;6,8
41024494;PARQUE ITAIPU C E DO EF M;4115200;Maringá;41;PR;205,0;3,0;199,0;;;;202,0;6,0;6,0;;5,0;
41571916;ESCOLA ARTE DO SABER ENSINO PRE ESCOLAR E ENSINO FUNDAMENTAL;4115200;Maringá;41;PR;48,0;;;;;;48,0;;;;;
41023773;CAMPOS SALLES E M EI EF;4115200;Maringá;41;PR;204,0;3,0;205,0;;;;194,0;13,0;13,0;;;6,9
41380320;ESCOLA MAGNUS DOMINI;4115200;Maringá;41;PR;445,0;;;;;;445,0;;;;;
41024265;LUIZ G G SAMPAIO E M DR EI EF;4115200;Maringá;41;PR;366,0;1,0;362,0;;;;336,0;31,0;31,0;;;7,7
41389557;ZULEIDE S PORTES E M EI EF;4115200;Maringá;41;PR;417,0;11,0;422,0;;;;413,0;15,0;15,0;;;6,6
41023587;ANGELINA L MENEGUETTI E M DONA EI EF;4115200;Maringá;41;PR;346,0;17,0;357,0;;;;249,0;114,0;114,0;;;7,6
41373197;DIDEROT ALVES DA ROCHA LOURES EM EI EF;4115200;Maringá;41;PR;243,0;5,0;246,0;;;;194,0;54,0;54,0;;;6,7
41388879;EXIMIUS E EF;4115200;Maringá;41;PR;80,0;;77,0;;;;79,0;1,0;1,0;;;
41024176;JOSE G BRAGA C E DR EF M;4115200;Maringá;41;PR;175,0;;172,0;;;;63,0;112,0;112,0;;4,7;
41024630;RODRIGUES ALVES C E EF M;4115200;Maringá;41;PR;376,0;39,0;405,0;;;;169,0;246,0;246,0;;5,0;
41024443;ODETTE A ROSA E M PROFA EI EF;4115200;Maringá;41;PR;659,0;4,0;656,0;;;;646,0;17,0;17,0;;;7,0
41149793;ODILON TULIO VARGAS E M EI EF;4115200;Maringá;41;PR;335,0;8,0;334,0;;;;331,0;12,0;12,0;;;6,3
41354206;MANUEL DIAS DA SILVA E M PION EF;4115200;Maringá;41;PR;191,0;5,0;194,0;;;;173,0;23,0;23,0;;;6,8
41373219;ESCOLA ADVENTISTA DE MARINGA - ZONA 7 - EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;4115200;Maringá;41;PR;352,0;3,0;;;;;354,0;1,0;1,0;;;
41023811;CAXIAS C E DQ DE EF M;4115200;Maringá;41;PR;369,0;8,0;369,0;;;;268,0;109,0;109,0;;5,2;
41570910;JOSE ANICETO E M PROF EI EF;4115200;Maringá;41;PR;231,0;3,0;232,0;;;;226,0;8,0;8,0;;;7,4
41023641;AYRTON PLAISANT E M EI EF;4115200;Maringá;41;PR;490,0;4,0;485,0;;;;478,0;16,0;16,0;;;7,4
41023625;NOTRE DAME ESC EDUC INF ENS FUND;4115200;Maringá;41;PR;505,0;4,0;;;;;509,0;;;;;
41585895;PROENSINO ESCOLA EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;4115200;Maringá;41;PR;63,0;1,0;;;;;64,0;;;;;
41024389;NADYR M ALEGRETTI E M PROFA EI EF;4115200;Maringá;41;PR;377,0;4,0;378,0;;;;307,0;74,0;74,0;;;6,9
41024818;ULYSSES GUIMARAES E M DEP FED DR EI EF;4115200;Maringá;41;PR;324,0;2,0;326,0;;;;314,0;12,0;12,0;;;7,4
41024117;JOAO B SANCHES E M DR EI EF;4115200;Maringá;41;PR;280,0;;280,0;;;;272,0;8,0;8,0;;;7,2
41160487;VILA MILITAR FEITEP C EF M;4115200;Maringá;41;PR;60,0;1,0;59,0;;;;52,0;9,0;9,0;;;
41153804;JOSE GALETTI E M PROF EI EF;4115200;Maringá;41;PR;267,0;2,0;264,0;;;;265,0;4,0;4,0;;;7,7
41369700;BOSCO DE MARINGA E D EI EF;4115200;Maringá;41;PR;349,0;2,0;340,0;;;;334,0;17,0;17,0;;;
41024729;SILVIO M BARROS C E EF M;4115200;Maringá;41;PR;708,0;3,0;711,0;;;;447,0;264,0;264,0;;4,7;
41024621;RENATO BERNARDI E M PROF EI EF;4115200;Maringá;41;PR;318,0;;314,0;;;;311,0;7,0;7,0;;;7,3
41602897;ESCOLA SAINT HELENA - EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;4115200;Maringá;41;PR;266,0;;;;;;266,0;;;;;
41024346;BILINGUE PARA SURDOS MGA C EI EF M;4115200;Maringá;41;PR;28,0;;28,0;;;;13,0;15,0;15,0;;;
41024192;JUSCELINO K OLIVEIRA C E EF M PROFIS;4115200;Maringá;41;PR;222,0;10,0;227,0;;;;136,0;96,0;96,0;;6,3;
41024508;ESCOLA PAXXIS LTDA ME;4115200;Maringá;41;PR;21,0;4,0;1,0;;;;25,0;;;;;
41023897;COLEGIO ADVENTISTA DE MARINGA EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO;4115200;Maringá;41;PR;505,0;2,0;;;;;494,0;13,0;13,0;;;
41023870;NOVO HORIZONTE E EI EF;4115200;Maringá;41;PR;243,0;3,0;238,0;;;;246,0;;;;;
41372433;MARIA ELIAS FADEL E M PROFA EF;4126207;Sapopema;41;PR;193,0;14,0;207,0;;;;201,0;6,0;6,0;;;5,9
41050762;SAPOPEMA C E EF M PROFIS;4126207;Sapopema;41;PR;154,0;149,0;301,0;;;;172,0;131,0;131,0;;;
41145402;ANADIR M DA COSTA E PROFA EI EF MOD E E;4126207;Sapopema;41;PR;8,0;5,0;13,0;;;;4,0;9,0;9,0;;;
41050690;OVIDIO NUNES MOREIRA E M C EI EF;4126207;Sapopema;41;PR;;12,0;12,0;;;;5,0;7,0;7,0;;;
41597958;ELIZABETH G OLIVEIRA E M C PROF EI EF;4126207;Sapopema;41;PR;2,0;15,0;17,0;;;;;17,0;17,0;;;
41050657;NOSSA SENHORA APARECIDA E M C EI EF;4126207;Sapopema;41;PR;;40,0;40,0;;;;2,0;38,0;38,0;;;
41050525;EFIGENIA DE PAULA LUZ C E C E F M;4126207;Sapopema;41;PR;;44,0;44,0;;;;1,0;43,0;43,0;;;
41050592;JONAS BUACHAK E M C EI EF;4126207;Sapopema;41;PR;;19,0;19,0;;;;11,0;8,0;8,0;;;
41050673;OLAVO BILAC E M C EI EF;4126207;Sapopema;41;PR;9,0;155,0;164,0;;;;61,0;103,0;103,0;;;5,5
41050460;ANADIR M DA COSTA C E C PROFA E F M;4126207;Sapopema;41;PR;2,0;15,0;17,0;;;;10,0;7,0;7,0;;;
41063023;MEDALHA MILAGROSA E E EF;4119905;Ponta Grossa;41;PR;659,0;11,0;647,0;;;;641,0;29,0;29,0;;6,1;
41148410;ESCOLA SAGRADA FAMILIA SAO ZYGMUNT;4119905;Ponta Grossa;41;PR;124,0;1,0;;;;;125,0;;;;;
41062981;MARIA DE L CANZIANI E PROFA EI EF M EE;4119905;Ponta Grossa;41;PR;117,0;1,0;115,0;;;;45,0;73,0;73,0;;;
41062809;JOAO R V B DU VERNAY CE PROF EF M PROFIS;4119905;Ponta Grossa;41;PR;658,0;7,0;657,0;;;;520,0;145,0;145,0;;5,1;
41145178;AMADEU PUPPI E M PREF DR EI EF;4119905;Ponta Grossa;41;PR;368,0;9,0;366,0;;;;377,0;;;;;6,6
41063414;SAO JORGE E M EI EF;4119905;Ponta Grossa;41;PR;247,0;;242,0;;;;247,0;;;;;7,2
41062353;CYRO MARTINS E M PREF ENG EI EF;4119905;Ponta Grossa;41;PR;156,0;4,0;156,0;;;;160,0;;;;;6,5
41062213;CATARINA MIRO E M EI EF;4119905;Ponta Grossa;41;PR;150,0;;148,0;;;;150,0;;;;;7,2
41063082;MUNHOZ DA ROCHA C E DO C DR EF M;4119905;Ponta Grossa;41;PR;9,0;115,0;123,0;;;;65,0;59,0;59,0;;4,7;
41061977;ANA DE B HOLZMANN E M PROFA EI EF;4119905;Ponta Grossa;41;PR;286,0;6,0;288,0;;;;292,0;;;;;6,6
41378920;BRASILIO A DA SILVA C E C EF M;4119905;Ponta Grossa;41;PR;1,0;75,0;76,0;;;;2,0;74,0;74,0;;;
