COD INEP;Escola;COD Municipio;Cidade;COD UF;UF;Total de escolas sem ensino fundamental - anos iniciais;Total de escolas com ensino fundamental - anos iniciais;Total de escolas sem Ensino Fundamental - Anos finais;Total de escolas com Ensino Fundamental - Anos finais;Total de escolas que não tem abastecimento de água da rede pública;Total de escolas que tem abastecimento de água da rede pública;Total de escolas que não não possuem abastecimento de água;Total de escolas que não possuem abastecimento de água;Total de escolas que não não possuem energia elétrica;Total de escolas que não possuem energia elétrica;Total de escolas que não possuem esgoto sanitário da rede pública;Total de escolas que possuem esgoto sanitário da rede pública;Total de escolas que não possuem coleta de lixo periódica;Total de escolas que possuem coleta de lixo periódica;Total de escolas que não possuem laboratório de informática;Total de escolas que possuem laboratório de informática;Total de escolas que não possuem laboratório de ciências;Total de escolas que possuem laboratório de ciências;Total de escolas que não possuem sala para atendimento educacional especializado;Total de escolas que possuem sala para atendimento educacional especializado;Total de escolas que não possuem quadra de esportes;Total de escolas que possuem quadra de esportes;Total de escolas que não possuem biblioteca e/ou sala de leitura;Total de escolas que possuem biblioteca e/ou sala de leitura;Total de de salas de aulas utilizadas na escola;Total de escolas que não possuem equipamento de som;Total de escolas que possuem equipamento de som;Total de escolas que não possuem projetor multimídia;Total de escolas que possuem projetor multimídia;Total de escolas que não possuem acesso à internet;Total de escolas que possuem acesso à internet;Total de escolas que não oferecem AEE;Total de escolas que oferecem AEE não exclusivamente;Total de escolas que oferecem AEE exclusivamente;Total de escolas que não oferecem atividade complementar;Total de escolas que oferecem atividade complementar não exclusivamente;Total de escolas que oferecem atividade complementar exclusivamente;Total de escolas que não possuem ensino fundamental organizado em ciclos;Total de escolas que possuem ensino fundamental organizado em ciclos;Total de escolas fora de localização diferenciada;Total de escolas localizadas em assentamento;Total de escolas localizadas em terra indígena;Total de escolas localizadas em terras remanescentes de quilombos;Total de escolas sem ensino organizado em Alternância;Total de escolas com ensino organizado em Alternância;Total de salas de aulas climatizadas na escola;Total de escolas que não possuemdesktop em uso pelos alunos;Total de escolas que possuem desktop em uso pelos alunos;Total de escolas que não possuem notebook em uso pelos alunos;Total de escolas que possuem notebook em uso pelos alunos;Total de escolas que não possuem tablets em uso pelos alunos;Total de escolas que possuem tablets em uso pelos alunos;Total de escolas que não possuem acesso à internet para os alunos;Total de escolas que possuem acesso à internet para os alunos;Total de escolas que não possuem acesso à internet para uso administrativo;Total de escolas que possuem acesso à internet para uso administrativo;Total de escolas que não possuem acesso à internet para uso nos processos de ensino e aprendizagem;Total de escolas que possuem acesso à internet para uso nos processos de ensino e aprendizagem;Total de escolas que não possuem acervo multimídia;Total de escolas que possuem acervo multimídia;Total de escolas que não possuem instrumentos musicais para conjunto, banda / fanfarra / aulas de música;Total de escolas que possuem instrumentos musicais para conjunto, banda / fanfarra / aulas de música;Média do IDEB - anos finais;Média do IDEB - Anos iniciais
24002259;ESCOLA ESTADUAL LUIZ DANTAS CAVALCANTI;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;6;;1,0;;1,0;;1,0;1,0;;;;1,0;;1,0;;1,0;;;;1,0;;6;;1,0;;1,0;1,0;;;1,0;;1,0;;1,0;;1,0;;1,0;;4,0
24087521;CEAMO BAMBINO EMPREENDIMENTO EDUCACIONAL LTDA;2408003;Mossoró;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;13;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;13;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;;
24003050;ESCOLA MUNICIPAL PEDRO FERNANDES RIBEIRO;2408003;Mossoró;24;RN;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;2;1,0;;1,0;;1,0;;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;;
24003646;INSTITUTO SANTA MARIA GORETTI;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;12;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;12;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;1,0;;;
24085812;ESCOLA MUNICIPAL PROFESSOR MAURICIO DE OLIVEIRA;2408003;Mossoró;24;RN;;1,0;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;;1,0;1,0;;;1,0;8;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;;;1,0;;;1,0;;0;;1,0;;1,0;1,0;;;1,0;;1,0;;1,0;;1,0;1,0;;3,9;4,4
24002305;ESCOLA ESTADUAL PADRE ALFREDO;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;1,0;;;1,0;6;;1,0;;1,0;;1,0;1,0;;;;1,0;;1,0;;1,0;;;;1,0;;6;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;;1,0;;3,8000000000000003
24003638;COLEGIO UNIVERSO UNO;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;1,0;;;1,0;;1,0;17;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;16;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;1,0;;1,0;;;
24072443;EDUCANDARIO TIA MARINEIDE;2408003;Mossoró;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;5;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;;1,0;1,0;;;
24088153;CENTRO EDUCACIONAL ASLIM;2408003;Mossoró;24;RN;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;9;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;9;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;;
24069914;COLEGIO IDEAL;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;12;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;12;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;;
24003220;ESCOLA MUNICIPAL PROFESSOR MANOEL ASSIS;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;14;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;;1,0;;;;1,0;;14;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;5,7;6,8
24002836;ESCOLA MUNICIPAL GENILDO MIRANDA;2408003;Mossoró;24;RN;1,0;;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;7;1,0;;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;;
24002658;ESCOLA MUNICIPAL HELOISA LEAO DE MOURA;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;9;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;;1,0;;;;1,0;;5;;1,0;;1,0;;1,0;1,0;;;1,0;;1,0;;1,0;1,0;;3,5;5,0
24002828;ESCOLA MUNICIPAL FRANCISCO FERREIRA SOUTO;2408003;Mossoró;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;;1,0;1,0;;1,0;;3;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;;;1,0;;;1,0;;0;;1,0;;1,0;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;;
24003000;ESCOLA MUNICIPAL NONO ROSADO;2408003;Mossoró;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;;1,0;1,0;;;1,0;8;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;;1,0;;1,0;;1,0;;1,0;;1,0;1,0;;;
24068810;CENTRO EDUCACIONAL ELITA CARLOS - CEDEC;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;1,0;;;1,0;;1,0;7;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;1,0;;;1,0;1,0;;;1,0;1,0;;;
24002992;ESCOLA MUNICIPAL MONSENHOR MOTA;2408003;Mossoró;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;7;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;1,0;;;1,0;1,0;;1,0;;;1,0;1,0;;1,0;;;1,0;;6,0
24069450;ESCOLA SANTA TERESINHA;2408003;Mossoró;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;1,0;;;1,0;5;;1,0;1,0;;1,0;;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;;
24002852;ESCOLA MUNICIPAL EVILASIO LEAO;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;1,0;;;1,0;6;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;1,0;;;1,0;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;;4,4
24002453;ESCOLA ESTADUAL PROFESSOR SOLON MOURA;2408003;Mossoró;24;RN;1,0;;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;8;;1,0;;1,0;;1,0;1,0;;;;1,0;;1,0;;1,0;;;;1,0;;7;1,0;;1,0;;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;;
24002410;ESCOLA ESTADUAL PROFESSOR JOSE NOGUEIRA;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;10;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;;1,0;;;;1,0;;0;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;;1,0;;1,0;;4,7
24001724;EE EDUCANDARIO PROFESSOR PAULO FREIRE;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;6;;1,0;;1,0;;1,0;1,0;;;;1,0;;1,0;;1,0;;;;1,0;;0;;1,0;;1,0;;1,0;1,0;;;1,0;1,0;;;1,0;;1,0;3,3;5,2
24068950;EDUCANDARIO SANTA MARIA DAS GRACAS;2408003;Mossoró;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;1,0;;;1,0;4;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;;1,0;1,0;;;
24082708;INSTITUTO PEQUENA PAULA;2408003;Mossoró;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;1,0;;;1,0;7;;1,0;1,0;;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;;1,0;1,0;;;
24079120;ESCOLA SESC;2408003;Mossoró;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;1,0;;;1,0;14;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;13;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;;1,0;;
24002526;COLEGIO MATER CHRISTI;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;53;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;;1,0;;
